Comment,Sentiment,Emotion,Confidence,Index
Watch Arjun Reddy Full Movie Online on Amazon Prime: http://bit.ly/2AcnrAz,Neutral,Calm,0.7341655492782593,1
Who watching in 2025,Neutral,Calm,0.8121576905250549,2
Who is watching in 2025,Neutral,Calm,0.8257500529289246,3
Make love make happiness be  experience,Positive,Joy,0.8728051781654358,4
Every story has aa reason but this have aa history 😅,Neutral,Calm,0.7560300827026367,5
Attendance,Neutral,Calm,0.8300877809524536,6
2025 bro,Neutral,Calm,0.6733874678611755,7
2025 attendance,Neutral,Calm,0.7898057103157043,8
i love this song,Positive,Excitement,0.96518474817276,9
2025,Neutral,Calm,0.5391082763671875,10
"Watching at 12:12 May 8 , 2025",Neutral,Indifferent,0.9213955402374268,11
4:24 bro yellow shirt yendhuku bro atla navvuthunnav 😂😂😂🤣🤣,Neutral,Calm,0.7088081240653992,12
me and chitti,Neutral,Indifferent,0.6985451579093933,13
1:34 ❤ it's true,Positive,Excitement,0.9218231439590454,14
Any one 2k25 ❤,Positive,Admiration,0.6926804780960083,15
2025 assemble here,Neutral,Indifferent,0.7876192927360535,16
😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘,Positive,Joy,0.8712680339813232,17
Forever favorite arjun raddy 🔥,Positive,Admiration,0.9655330181121826,18
205000😅😊😮😢🎉😂❤,Positive,Excitement,0.8943712115287781,19
Who is watching in 2024,Neutral,Indifferent,0.8525938987731934,20
"that yellow shirt guy rocked the emotion, relatable",Positive,Admiration,0.7088727951049805,21
Worst movie 1st half  love story is good but 2nd half is poor,Negative,Anger,0.9257174134254456,22
Oct 2024. I am here again. By the got a bullet B1 series 1978 bullet . Will be restoring it . The engine sounds awesome,Positive,Admiration,0.9592238068580627,23
Inka 10 Arjun Reddy's tesina dhini laga radhuu 💥,Neutral,Indifferent,0.5887102484703064,24
3:39 lyrics ❤,Positive,Joy,0.7838101983070374,25
❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊,Positive,Admiration,0.9661656618118286,26
now by seeing this scene from 1:30 he is just objectifying the other girl,Negative,Sadness,0.6900154948234558,27
Kabir Singh >,Neutral,Calm,0.826995313167572,28
Who's watching 2024❤,Positive,Admiration,0.6759503483772278,29
Vijay lived in this as Arjun reddy❤,Positive,Admiration,0.7032304406166077,30
2024,Neutral,Calm,0.6024560928344727,31
Anyone in 2024??,Neutral,Curiosity,0.9052214026451111,32
Naa Peru Preethi,Neutral,Indifferent,0.7649852633476257,33
Who are watching in 2024......?  one like  here 💘,Neutral,Calm,0.5332740545272827,34
Masterpiece 🌟🎉,Positive,Admiration,0.9706562161445618,35
"anna em tesav  
same na story",Neutral,Calm,0.8817955851554871,36
Are huka fat ga undey ammayilu ugly ani a?raa fuka  bodyshaming gurinchi Matladutunavu lyrics Rasina badkow ki gubbalo tannali,Negative,Disgust,0.7123310565948486,37
"for ppl who didnt understand 
he explains everything drwing on her 
apothorax is  thorax which contains lungs and heart so this girl was scared to go and he thought and went",Neutral,Calm,0.6859533190727234,38
Who's watching this master piece in 2k24,Neutral,Calm,0.758669912815094,39
Who is here after watching everevaro video song in ANIMAL,Neutral,Indifferent,0.9386963248252869,40
Vijay❤❤❤,Positive,Excitement,0.9741925001144409,41
Niharika Singh,Neutral,Calm,0.8078152537345886,42
Then y didn Preethi also  bcm dctr as u Arjun,Neutral,Curiosity,0.8818785548210144,43
Can anyone please translate the lyrics 🥹,Neutral,Calm,0.7273884415626526,44
Her friends are also choosen by him😮.......fat girls are also beautiful ❤️,Positive,Joy,0.9560376405715942,45
My all time favourite song ❤,Positive,Joy,0.982796311378479,46
Really very lucky priti... esa bf kahin nh milega... Arjun Reddy unique and psycho type lover... but sooo sweet❤❤❤,Positive,Joy,0.9692251682281494,47
Nice song,Positive,Excitement,0.9064505696296692,48
Nice song,Positive,Excitement,0.9064505696296692,49
Anyone else watching in 2023 !!! 👁👁 ?,Neutral,Curiosity,0.9216132760047913,50
Emitemiti Temitoo Em Avtunnadhoo Etavaalu Dhaarilo Jaaredhekkadikoo Emitemiti Emitoo Em Kaanunnadho Erulaanti Vayasuloo Cheredethatiko Telusaa Telusaa Nekainaa Telusa Telusaa Mari Nakainaa Ainaa Adugulu Aagenaa Veladham Edemainaa Eduruga Nuvu Nilabadu Nimushaana Edigina Prathi Kshanamunu Marichaanaa Tholi Tharagathi Thalupulu Therichaanaa Nijamaa Nijamaaaaa Nee Raakathoo Naa Raathaloo Okkarojulone Enenni Maarayalaa Aa Ningine Naa Lekhagaa Marchukunna Chaladhemo Avanni Nen Rayalante Chebuthaa Anni Nee Thonaa Chebuthaa Roju Mari Rathrainaa Ayinaa Kaburulu Mugisenaa Kalalo Malli Raanaa Eduruga Nuvu Nilabadu Nimushaana Edigina Prathi Kshanamunu Marichaanaa Tholi Tharagathi Thalupulu Therichaanaa Nijamaa Nijamaa,Neutral,Calm,0.89425128698349,51
❤❤❤,Positive,Admiration,0.9413931965827942,52
Fat chicks? These movies perpetuate such nonsense yet again a fail for women in India I bet his mother is fat shameless fool,Negative,Anger,0.9421094059944153,53
Vijay annan❤❤,Positive,Excitement,0.9676477313041687,54
Submissive 😒,Negative,Disgust,0.562167763710022,55
Vijay is emotion,Neutral,Calm,0.6500222682952881,56
Woow 😍😍😉,Positive,Joy,0.9712896347045898,57
Movie is good but kaise hua is most attractive than this song,Positive,Admiration,0.8856675028800964,58
He is wearing slippers in this too 😂 slipper lover 😘,Positive,Joy,0.8938419222831726,59
Mangalore university college ❤,Positive,Excitement,0.9217950701713562,60
❤️kichu.............. ❤️❤️❤️❤️,Positive,Admiration,0.9273622035980225,61
"Fans lenduk
Takali lover 💩💩💩💩💩💩💩💩",Negative,Anger,0.9243456721305847,62
Full movie  dan please,Neutral,Curiosity,0.7161259651184082,63
Arai matlab Kabir sing b remake h South sai churayi hoi...,Neutral,Indifferent,0.7872976660728455,64
Wow cute lap m sona,Positive,Excitement,0.9419230818748474,65
Roj topic puch puch k  padhana wow,Neutral,Indifferent,0.6710269451141357,66
Sb khade ho jatey h nd dara v dete h wow aura aisa h ki dar v jaye sb,Neutral,Calm,0.7444738149642944,67
Pyar ho to aisa,Neutral,Curiosity,0.720126211643219,68
What,Neutral,Calm,0.44208505749702454,69
Frndship ho gya,Neutral,Curiosity,0.7775976061820984,70
Dikha rhe h ki moti aao kya andaaz h,Neutral,Calm,0.8108610510826111,71
Kya attitude h wow,Neutral,Indifferent,0.5461516976356506,72
